# mode: ho, integrator: euler, N: 1, P: 1, dt: 0.1, steps: 100, n_steps: 100, n_frames: 101, step_indexing: 0..steps (includes initial frame), total_steps_executed: 100, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 100, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-10T22:23:47Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.1,1,-0.1,3.34521325e-28,3.34521325e-26,3.3786653825e-26
2,0.2,0.99,-0.2,1.3380853e-27,3.278643506325e-26,3.412452036325e-26
3,0.3,0.97,-0.299,2.9906540976325e-27,3.147511146925e-26,3.44657655668825e-26
4,0.4,0.9401,-0.396,5.24582961012e-27,2.95645936124313e-26,3.48104232225513e-26
5,0.5,0.9005,-0.49001,8.03218484749371e-27,2.71263426072831e-26,3.51585274547768e-26
6,0.6,0.851499,-0.58006,1.12556257618497e-26,2.42544869674749e-26,3.55101127293246e-26
7,0.7,0.793493,-0.6652099,1.48027095001205e-26,2.10625043564973e-26,3.58652138566178e-26
8,0.8,0.72697201,-0.7445592,1.85448052477081e-26,1.76790607474759e-26,3.6223865995184e-26
9,0.9,0.65251609,-0.817256401,2.23429477492928e-26,1.4243156905843e-26,3.65861046551359e-26
10,1,0.5707904499,-0.88250801,2.60532028035155e-26,1.08987628981718e-26,3.69519657016872e-26
11,1.1,0.4825396489,-0.93958705499,2.95323398659407e-26,7.78914549276336e-27,3.73214853587041e-26
12,1.2,0.388580943401,-0.98784101988,3.26435904618706e-26,5.05110975042052e-27,3.76947002122911e-26
13,1.3,0.289796841413,-1.0266991142201,3.52622632215035e-26,2.80938399291054e-27,3.80716472144141e-26
14,1.4,0.18712692999099,-1.0556787983614,3.7280987492711e-26,1.17137619384718e-27,3.84523636865582e-26
15,1.5,0.0815590501548499,-1.0743914913605,3.86143677970432e-26,2.22519526380543e-28,3.88368873234238e-26
16,1.6,-0.0258800989812,-1.08254739637598,3.92028506432996e-26,2.24055533584394e-29,3.9225256196658e-26
17,1.7,-0.134134838618798,-1.07995938647786,3.90156328079025e-26,6.01875950722078e-28,3.96175087586246e-26
18,1.8,-0.242130777266585,-1.06654590261598,3.80524751935896e-26,1.96120865262126e-27,4.00136838462108e-26
19,1.9,-0.348785367528183,-1.04233282488933,3.63443275328902e-26,4.06949315178272e-27,4.0413820684673e-26
20,2,-0.453018650017116,-1.00745428813651,3.39527149838354e-26,6.86524390768431e-27,4.08179588915197e-26
21,2.1,-0.553764078830767,-0.962152423134796,3.09678863295231e-26,1.02582521509118e-26,4.12261384804349e-26
22,2.2,-0.649979321144246,-0.906776015251719,2.7505773147054e-26,1.41326267181852e-26,4.16383998652392e-26
23,2.3,-0.740656922669418,-0.841778083137295,2.37038579837252e-26,1.83509258801664e-26,4.20547838638916e-26
24,2.4,-0.824834730983148,-0.767712390870353,1.97160952977439e-26,2.27592364047866e-26,4.24753317025305e-26
25,2.5,-0.901605970070183,-0.685228917772038,1.57070697943855e-26,2.71930152251704e-26,4.29000850195558e-26
26,2.6,-0.970128861847387,-0.59506832076502,1.18456110800458e-26,3.14834747897056e-26,4.33290858697514e-26
27,2.7,-1.02963569392389,-0.498055434580281,8.2981097586331e-27,3.54642669698158e-26,4.37623767284489e-26
28,2.8,-1.07944123738192,-0.395091865187892,5.22179699390779e-27,3.89782035018256e-26,4.42000004957334e-26
29,2.9,-1.11895042390071,-0.2871477414497,2.75825629307047e-27,4.18837442076203e-26,4.46420005006907e-26
30,3,-1.14766519804568,-0.17525269905963,1.027432356808e-27,4.40609881488896e-26,4.50884205056976e-26
31,3.1,-1.16519046795164,-0.0604861792550623,1.22387232032617e-28,4.5416917478722e-26,4.55393047107546e-26
32,3.2,-1.17123908587715,0.0560328675401016,1.05029066459829e-28,4.58896686914023e-26,4.59946977578622e-26
33,3.3,-1.16563579912313,0.173156776127816,1.00300429135123e-27,4.54516404440896e-26,4.64546447354408e-26
34,3.4,-1.14832012151035,0.28972035604013,2.80790124088858e-27,4.41112899419066e-26,4.69191911827952e-26
35,3.5,-1.11934808590634,0.404552368191165,5.47486360300791e-27,4.19135194916152e-26,4.73883830946231e-26
36,3.6,-1.07889284908722,0.516487176781799,8.92365754001768e-27,3.89386093855517e-26,4.78622669255694e-26
37,3.7,-1.02724413140904,0.624376461690522,1.3041178906318e-26,3.5299710688507e-26,4.83408895948251e-26
38,3.8,-0.964806485239992,0.727100874831426,1.76853289698342e-26,3.11389695209392e-26,4.88242984907733e-26
39,3.9,-0.892096397756849,0.823581523355425,2.26901307277521e-26,2.6622410747929e-26,4.9312541475681e-26
40,4,-0.809738245421307,0.91279116313111,2.78719055883349e-26,2.1933761302103e-26,4.98056668904379e-26
41,4.1,-0.718459129108196,0.993764987673241,3.3036284047332e-26,1.72674395120103e-26,5.03037235593422e-26
42,4.2,-0.619082630340872,1.06561090058406,3.79857859942437e-26,1.28209748006919e-26,5.08067607949357e-26
43,4.3,-0.512521540282466,1.12751916361815,4.2527678127818e-26,8.78715027506707e-27,5.1314828402885e-26
44,4.4,-0.399769623920651,1.17877131764639,4.64817989684092e-26,5.34617771850467e-27,5.18279766869139e-26
45,4.5,-0.281892492156011,1.21874828003846,4.96880370330014e-26,2.65821942078159e-27,5.2346256453783e-26
46,4.6,-0.160017664152165,1.24693752925406,5.20131553267442e-26,8.56563691576607e-28,5.28697190183208e-26
47,4.7,-0.0353239112267594,1.26293929566928,5.33566753499553e-26,4.17408585487946e-29,5.33984162085041e-26
48,4.8,0.0909700183401683,1.26647168679195,5.36555657682697e-26,2.76834602319398e-28,5.39324003705891e-26
49,4.9,0.217617187019364,1.25737468495794,5.28875237040964e-26,1.58420067019856e-27,5.4471724374295e-26
50,5,0.343354655515157,1.235612966256,5.10726887813849e-26,3.94375283665304e-27,5.50164416180379e-26
51,5.1,0.466915952140757,1.20127750070448,4.82736896889541e-26,7.29291634526422e-27,5.55666060342183e-26
52,5.2,0.587043702211205,1.15458590549041,4.45939878789227e-26,1.15282842156378e-26,5.61222720945605e-26
53,5.3,0.702502292760246,1.09588153526929,4.01745505904562e-26,1.65089442250499e-26,5.66834948155061e-26
54,5.4,0.812090446287175,1.02563130599326,3.51889530301242e-26,2.20613767335369e-26,5.72503297636612e-26
55,5.5,0.914653576886501,0.944422261364546,2.98370745375949e-26,2.79857585237029e-26,5.78228330612978e-26
56,5.6,1.00909580302296,0.852956903675895,2.43376132596341e-26,3.40634481322767e-26,5.84010613919108e-26
57,5.7,1.09439149339055,0.7520473233736,1.89196957461132e-26,4.00653762597167e-26,5.89850720058299e-26
58,5.8,1.16959622572791,0.642608174034545,1.38138997312679e-26,4.57610229946202e-26,5.95749227258882e-26
59,5.9,1.23385704313136,0.525648551461755,9.24303829181824e-27,5.09276336613288e-26,6.01706719531471e-26
60,6,1.28642189827754,0.402262847148619,5.41307014099663e-27,5.53593085316819e-26,6.07723786726785e-26
61,6.1,1.3266481829924,0.273620657320865,2.50450309114311e-27,5.88755993682622e-26,6.13801024594053e-26
